"ResponseId","part.group","EndDate","Duration..in.seconds.","bnt1","bnt2","bnt3","bnt4","time.bnt_Page.Submit","mct.w","mct.w.pro_1","mct.w.pro_2","mct.w.pro_3","mct.w.pro_4","mct.w.pro_5","mct.w.pro_6","mct.w.con_1","mct.w.con_2","mct.w.con_3","mct.w.con_4","mct.w.con_5","mct.w.con_6","mct.d","mct.d.pro_1","mct.d.pro_2","mct.d.pro_3","mct.d.pro_4","mct.d.pro_5","mct.d.pro_6","mct.d.con_1","mct.d.con_2","mct.d.con_3","mct.d.con_4","mct.d.con_5","mct.d.con_6","time.mct_Page.Submit","treat.check","time.sec2_Page.Submit","fq1_1","fq2_1","fq3_1","fq4_1","fq5_1","fq6_1","fq7_1","fq8_1","fq9_1","fq10_1","fq11_1","fq12_1","fq13_1","fq14_1","fq15_1","fq16_1","fq17_1","fq18_1","fq19_1","fq20_1","fq21_1","fq22_1","fq23_1","fq24_1","selfassessment","exp","exp.sp","team","time","source","intu.anal","method","time.refl_Page.Submit","sex","year","edu","emp","CompletionCode","Group"
"R_1P1nBqMsgicgAZe","other",2017-02-06,1291,25,25,23,20,352.825,3,2,3,1,2,2,2,1,1,-4,NA,-1,-3,3,1,4,-2,-2,1,-3,-4,-2,-4,-1,NA,-1,"322.039","Yes",449.158,0.85,0.61,0.4,0.55,0.41,0.5,0.66,0.31,0.71,0.3,0.23,0.6,0.34,0.23,0.71,0.62,0.61,0.5,0.62,0.58,0.53,0.77,0.19,0.53,"Slightly good","No, I never participated in any forecasting of events","None","With more than one other person","10-30 min","News,Academic papers,Peers and friends","Only intuition","","112.08","Female","1995","Some college/university but no degree","    A student","51028913","Treatment"
"R_1P4WfsYzb2YmxJQ","other",2017-02-06,922,30,25,33,50,209.31,-1,1,3,-4,2,-4,4,4,-4,-4,4,-4,-4,2,4,4,-4,-4,-4,-4,-4,2,3,-3,-4,4,"312.971","",287.46,0,0,0.5,0,0.75,0.5,0,0.25,1,0.5,0.25,0.75,0.5,0,0.75,0,0,0.75,0.5,0,0.75,1,0,0.75,"Neither good nor bad","No, I never participated in any forecasting of events","Yes, but less than six months","Individually","Less than 10 min","None","Only intuition","","60.872","Male","1990","Bachelor's degree","    A student","33113852","Control"
"R_1P60vuIG0Y0SYge","other",2017-02-08,1386,30,25,20,50,320.052,2,-2,3,-2,0,1,4,1,-1,-4,3,-1,-3,1,2,3,-1,-2,2,0,-3,1,2,-4,-3,1,"604.521","",316.388,0.2,0.5,0.4,0,0.75,0,0.7,0.9,0.15,0.25,0.1,0.8,0.75,0,0.6,0.5,0.3,0.1,0,0.6,0.25,0.9,0.15,0.3,"Slightly good","No, I never participated in any forecasting of events","Yes, between six months and two years","Individually","10-30 min","News,Academic papers,Reports of non-government organizations,Reports of governments and/or international organizations","Mostly analysis, some intuition","","92.042","Male","1989","Master's degree","    A student","42614230","Control"
"R_1pLtPOehTTHVUE8","other",2017-02-07,960,17,25,20,25,317.059,-1,1,1,-2,-1,-3,1,3,1,0,4,2,-1,1,0,1,-2,2,1,-1,-2,0,1,1,-2,1,"237.185","Yes",275.009,0.15,0.5,0.2,0.25,0.35,0.65,0.45,0.4,0.6,0.7,0.15,0.6,0.4,0.2,0.4,0.81,0.1,0.3,0.05,0.3,0.7,0.75,0.05,0.2,"Slightly good","No, I never participated in any forecasting of events","None","Individually","10-30 min","News","About evenly intuition and analysis","","51.919","Female","1981","Master's degree","    A student","63822334","Treatment"
"R_1psUSt0dFg22Qp0","mturk",2017-02-07,1148,25,35,30,11,281.061,1,-1,-2,1,-2,-2,2,3,-1,1,2,2,2,1,2,2,1,2,2,-1,-1,-1,-1,2,2,1,"426.739","",254.81,0.84,0.63,0.27,0.68,0.58,0.18,0.8,0.22,0.17,0.34,0.77,0.84,0.23,0.86,0.1,0.13,0.72,0.18,0.4,0.71,0.36,0.9,0.1,0.15,"Slightly bad","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","None","Only intuition","I just briefly thought about the questions.","67.289","Male","1984","Some college/university but no degree","    Out of work and looking for work","43987535","Control"
"R_1PT2hGm3mRTQQsE","mturk",2017-02-06,2484,30,10,20,4,449.556,-3,-4,-3,-4,-4,-3,-3,3,2,0,4,2,0,-3,-4,-4,-4,-4,-4,-4,4,3,4,0,0,4,"552.91","Yes",1162.156,0.27,0,0.06,0.23,0.15,0.34,0,0.07,0.03,0,0.35,0.23,0.2,0.19,0.23,0.08,0.15,0.18,0.19,0.08,0.45,0.89,0.08,0.83,"Moderately good","No, I never participated in any forecasting of events","None","Individually","30 min to 1 hour","Online databases / statistics","About evenly intuition and analysis","","193.13","Male","1984","Bachelor's degree","    Employed for wages","42155872","Treatment"
"R_1QM9YL4aklUi0r6","mturk",2017-02-07,749,25,10,7,10,122.047,-2,-2,-1,-2,2,1,1,-2,1,2,1,2,-1,-1,2,2,-1,-2,-1,2,1,2,-1,2,-1,2,"307.085","",136.026,0.4,0.13,0.21,0.16,0.27,0.38,0.62,0.39,0.25,0.66,0.32,0.31,0.64,0.07,0.13,0.21,0.21,0.13,0.15,0.09,0.26,0.18,0.24,0.2,"Slightly good","No, I never participated in any forecasting of events","None","Individually","10-30 min","News","Mostly intuition, some analysis","I did not use a specific method but I thought about the possibility of each event and if I thought it was likely to occur or not likely to occur","105.914","Female","1965","Bachelor's degree","    Employed for wages","22478358","Control"
"R_1r3omFxnOXWoO6I","uni",2017-02-12,278448,30,25,23,66,550.245,-1,-2,-2,-2,NA,-1,1,2,1,-1,3,-1,-3,1,1,-1,-2,-2,3,-1,-2,-1,-1,-3,-2,1,"1085.561","",889.839,0.19,0.66,0.2,0.6,0.7,0.66,0.35,0.5,0.39,0.6,0.19,0.33,0.29,0.23,0.35,0.55,0.55,0.34,0.3,0.29,0.6,0.56,0.4,0.54,"Neither good nor bad","Yes, I have tried forecasting events a few times","None","Individually","30 min to 1 hour","News,Reports of non-government organizations,Reports of governments and/or international organizations","About evenly intuition and analysis","I compared the questions to my own background knowledge on the subject in question, as well as the recent record of such events taking place in that country (last 6 months-1 year). ","157.935","Female","1990","Bachelor's degree","    A student","16604352","Control"
"R_1ruDkNGMXnNZR1N","mturk",2017-02-06,921,25,25,20,25,40.66,1,1,2,0,1,0,0,1,-1,-2,-2,-2,-2,1,2,1,0,0,0,1,-2,-2,-2,-2,-2,-3,"152.294","Yes",612.364,0.31,0.26,0.34,0.22,0.18,0.32,0.26,0.46,0.25,0.24,0.36,0.4,0.48,0.89,0.35,0.29,0.26,0.3,0.33,0.33,0.59,0.54,0.51,0.51,"Moderately good","Yes, I sometimes forecast events","None","Individually","Less than 10 min","None","Only intuition","","73.103","Male","1993","Bachelor's degree","    Employed for wages","83445098","Treatment"
"R_21Bwz83huMyvsqc","mturk",2017-02-06,369,25,50,12,15,146.117,1,3,1,0,2,1,2,1,-1,1,3,0,1,2,1,3,2,2,0,1,-1,-2,2,1,2,-3,"61.689","",71.55,0.22,0.37,0.28,0.08,0.54,0.31,0.84,0.31,0.85,0.62,0.16,0.31,0.15,0.7,0.31,0.2,0.6,0.25,0.23,0.41,0.14,0.38,0.39,0.8,"Moderately good","Yes, I have tried forecasting events a few times","None","Individually","10-30 min","None","Only intuition","went with my gut","22.399","Male","1987","Some college/university but no degree","    Employed for wages","74180913","Control"
"R_21mr1O60sgu8RtI","uni",2017-02-12,174326,30,25,20,50,3651.668,-3,-4,-4,-4,-4,-4,-2,4,3,-4,4,-4,-4,2,3,3,-1,-1,0,-1,-3,-4,-4,2,-2,-2,"1147.814","",6192.261,0.8,0.1,0.05,0.6,0.7,0.3,0.15,0.8,0.2,0.05,0.05,0.9,0.6,0.3,0.9,0.7,0.05,0.3,0.3,0.2,0.2,0.7,0.05,0.1,"Slightly good","No, I never participated in any forecasting of events","None","Individually","2 to 4 hours","News,Reports of non-government organizations,Reports of governments and/or international organizations","About evenly intuition and analysis","","112.307","Female","1989","Master's degree","    A student","12078045","Control"
"R_22Etbcjx9txkkiE","uni",2017-02-10,1327,30,25,24,4,322.251,-2,-1,1,-3,2,-1,-2,3,4,-2,3,3,0,3,2,3,-1,-1,3,1,-2,-1,-4,-1,-1,1,"278.52","Yes",486.033,0.09,0.18,0,0.09,0.62,0.4,0.81,0.31,0.3,0.49,0.05,0.82,0.72,0.02,0.83,0.21,0.82,0.71,0.61,0.1,0.61,0.18,0.05,0.3,"Slightly good","No, I never participated in any forecasting of events","None","Individually","10-30 min","News,Academic papers,Social media","Mostly intuition, some analysis","I answered all the questions based mostly on my intuition based on recent news articles I have read. Based on the current global political climate I came to my conclusions. Some of the forecasting events I knew little information about, but rather than googling everything, I made my forecast based on previous knowledge I have acquired about certain regions or the recent attacks/actions of a political or armed group. ","160.937","Male","1991","Bachelor's degree","    A student","4310650","Treatment"
"R_22lG2snHeriUGhy","mturk",2017-02-06,817,25,40,10,20,138.77,-2,-4,-2,0,1,-2,-1,4,4,3,4,4,-2,-3,-4,-4,-4,-4,-4,-4,2,3,4,3,0,4,"255.565","Yes",324.096,0.19,0.8,0.3,0.3,0.19,0.7,0.89,0.45,0.43,0.34,0.2,0.16,0.11,0.21,0.26,0.53,0.78,0.88,0.38,0.99,0.37,0.62,0.37,0.24,"Slightly good","No, I never participated in any forecasting of events","None","Individually","10-30 min","News,Social media","Mostly intuition, some analysis","","43.606","Female","1990","Bachelor's degree","    Employed for wages","83807500","Treatment"
"R_239vvh4PttiYTUk","mturk",2017-02-06,602,6,10,10,0.5,199.852,2,2,3,-1,2,0,2,1,2,2,0,1,1,1,2,2,1,1,-1,1,1,1,1,-1,1,-1,"143.802","",77.002,0.69,0.64,0.38,0.63,0.35,0.6,0.67,0.69,0.71,0.4,0.67,0.87,0.76,0.32,0.66,0.3,0.68,0.63,0.3,0.62,0.26,0.68,0.68,0.25,"Slightly good","Yes, I have tried forecasting events a few times","Yes, but less than six months","Individually","10-30 min","Academic papers,Online databases / statistics","Mostly intuition, some analysis","i just go through the answer from the online source of it so only i easily answered it ","99.864","Male","1990","Bachelor's degree","    Employed for wages","50010174","Control"
"R_241b2jx9ESsp9Uh","mturk",2017-02-06,1471,60,25,23,15,430.308,3,4,4,4,4,4,2,2,3,4,-1,2,-4,3,4,4,-4,2,3,-3,-2,2,4,4,-3,4,"298.971","",390.592,0,0.89,0.02,0.7,0.21,0.59,0.86,0.67,0.02,0.08,0.31,0.64,0.57,0.8,0.45,0.23,0.8,0.91,0.32,0.66,0.29,0.8,0.37,0.29,"Extremely good","No, I never participated in any forecasting of events","None","Individually","10-30 min","News,Online databases / statistics,Social media","Mostly analysis, some intuition","I do has a research online to gather information about the news that seems to be unfamiliar to me. A2V9QJ90P9WHXW ","206.412","Female","1986","Bachelor's degree","    Employed for wages","29965890","Control"
"R_26fGdvoP18LDDQ2","mturk",2017-02-06,448,30,25,20,4,94.006,3,2,4,3,3,4,4,3,3,-2,-1,0,-1,2,3,4,3,2,3,1,-1,-1,-1,-2,-2,-1,"148.718","",113.786,0.33,0.68,0.32,0.96,0.81,0.27,0.87,0.78,0.21,0.87,0.19,0.95,0.24,0.88,0.85,0.87,0.88,0.48,0.14,0.81,0.86,0.88,0.86,0.87,"Moderately good","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","News","About evenly intuition and analysis","I thought about global events, and our president and how he likes taking action. With all the chaos and war in the world, I made decisions to as how fast things will happen.","58.399","Female","1998","High school graduate (high school diploma or equivalent)","    Self-employed","34955475","Control"
"R_26kIsyZrmbHwZ2V","mturk",2017-02-09,1433,30,25,20,50,273.365,-1,-1,2,-3,-2,-1,1,1,2,-1,1,0,-1,2,1,1,-1,1,2,0,-3,-4,-2,1,-1,1,"255.201","Yes",731.942,0.25,0.8,0.1,0.1,0.2,0.4,0.15,0.8,0.3,0.9,0.1,0.6,0.6,0.3,0.2,0.2,0.1,0.75,0.2,0.15,0.35,0.6,0.2,0.3,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","None","About evenly intuition and analysis","I thought about each event, and estimated a somewhat conservative value. Events with large amount of casualties and bombings I put low in probability.","96.103","Male","1987","Bachelor's degree","    Employed for wages","11870571","Treatment"
"R_2784AdOw3XTxpMc","other",2017-02-07,1193,30,25,20,50,235.223,-1,-4,1,-4,-4,1,3,3,2,-4,4,-2,-2,1,1,1,-1,-1,-1,-2,-2,-1,-1,-3,-3,2,"345.288","",440.515,0.6,0.6,0.55,0.55,0.66,0.4,0.65,0.91,0.66,0.55,0.45,0.65,0.7,0.4,0.62,0.7,0.1,0.4,0.55,0.6,0.6,0.7,0.35,0.4,"Moderately bad","Yes, I sometimes forecast events","Yes, between six months and two years","Individually","Less than 10 min","None","About evenly intuition and analysis","","85.118","Male","1991","Master's degree","    A student","13316558","Control"
"R_27CNdePuFScS2YP","uni",2017-02-12,8157,25,NA,23,NA,1328.559,-3,-4,-4,-4,-4,-4,-4,-1,1,1,4,4,-1,3,-2,4,-1,-4,1,-4,-4,-1,-1,2,-1,2,"1317.092","Yes",5126.875,0.85,0.2,0.65,0.05,0.4,0.3,0.4,0.25,0.7,0.75,0.15,0.8,0.4,0.15,0.95,0.75,0.3,0.1,0.5,0.3,0.65,0.95,0.75,0.81,"Slightly good","No, I never participated in any forecasting of events","None","Individually","1 to 2 hours","News","Mostly analysis, some intuition","I searched the internet for the latest developments on each of the current events, read through a couple of press notes dealing with each and assigned a probability based on that.","177.717","Female","1992","Bachelor's degree","    A student","87017330","Treatment"
"R_27f10XHjdm4BtAo","mturk",2017-02-09,1423,30,40,20,50,444.496,-2,2,3,1,3,4,1,-1,-2,1,-1,3,-2,3,3,2,3,2,4,-1,-1,1,-2,1,-2,2,"358.463","",396.759,0.81,0.51,0.31,0.73,0.72,0.15,0.19,0.11,0.31,0.69,0.17,0.35,0.88,0.72,0.29,0.21,0.1,0.76,0.59,0.81,0.3,0.24,0.07,0.3,"Slightly bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","None","Only intuition","I only used my intution and past happenings as a way to forecast questions.","110.612","Male","1997","Some college/university but no degree","    A student","81836115","Control"
"R_27kjf3HplGVbIKy","other",2017-02-09,942,30,10,20,55,505.167,-2,-2,-1,-3,2,0,2,4,2,1,4,0,0,-1,1,-2,-1,-2,1,-2,3,2,4,2,-3,2,"174.998","",172.793,0.39,0.19,0.41,0.19,0.62,0.19,0.81,0.29,0.18,0.63,0.2,0.58,0.81,0.65,0.86,0.8,0.2,0.16,0.14,0.2,0.79,0.68,0.2,0.41,"Slightly good","No, I never participated in any forecasting of events","Yes, but less than six months","Individually","Less than 10 min","News,Reports of governments and/or international organizations","Mostly intuition, some analysis","","47.984","Male","1992","Bachelor's degree","    A student","3597864","Control"
"R_27QnR3ONkDsuUWV","uni",2017-02-11,1170,30,25,23,80,76.858,2,1,4,-3,3,1,2,-2,1,-3,2,-1,-4,1,3,-1,-2,2,-2,-4,-2,3,3,2,1,2,"197.883","Yes",686.153,0.4,0.1,0.3,0.25,0.6,0.17,0.75,0.26,0.35,0.42,0.3,0.65,0.9,0.19,0.71,0.85,0.24,0.29,0.23,0.69,0.68,0.87,0.2,0.69,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","News","Mostly intuition, some analysis","No specific method. I googled in order to have the most recent information and then relied a lot on intuition","176.449","Male","1992","Bachelor's degree","    A student","23215151","Treatment"
"R_29fZWgUgaqSBUAH","other",2017-02-08,2220,43,0.25,21,0.002,1230.19,-1,-3,-2,-2,-2,-4,-1,2,2,-4,4,-1,-4,NA,1,1,-1,-1,NA,-2,-4,-3,-1,1,-4,2,"297.357","",461.596,0.67,0.35,0.27,0.74,0.75,0.89,0.93,0.58,0.62,0.67,0.79,0.76,0.65,0.88,0.86,0.63,0.69,0.05,0.13,0.56,0.88,0.98,0.43,0.62,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","None","About evenly intuition and analysis","","152.134","Female","1977","Some college/university but no degree","    A student","66764868","Control"
"R_2akJNdYsOXkMxBq","uni",2017-02-10,3165,30,25,20,50,1180.995,-3,-1,-1,-4,-1,-4,-1,4,4,1,4,3,3,-1,1,1,-4,-4,1,-1,-1,2,1,4,4,2,"513.644","Yes",1180.677,0.6,0.71,0.3,0.09,0.09,0.21,0.29,0.6,0.35,0.49,0.19,0.15,0.25,0.3,0.25,0,0.35,0.29,0.05,0.3,0.22,0.61,0.09,0.14,"Slightly bad","No, I never participated in any forecasting of events","None","With one other person","1 to 2 hours","News,Online databases / statistics,Peers and friends,Social media","About evenly intuition and analysis","I have mostly relied on the events have taken place in the last year through Europe and in the International Arena. Nonetheless, my answered have been mostly influenced by my personal intuition and media bias. ","224.258","Male","1993","Bachelor's degree","    A student","29513223","Treatment"
"R_2AWDH5cgZUIHbXJ","mturk",2017-02-06,1750,33,100,11,20,892.819,-1,-2,2,1,-2,-2,-1,1,-2,1,2,2,0,-1,-1,1,1,0,1,1,1,1,2,1,1,1,"303.662","Yes",410.572,0.35,0.39,0.51,0.51,0.36,0.33,0.51,0.39,0.38,0.35,0.48,0.25,0.39,0.59,0.29,0.39,0.29,0.34,0.4,0.24,0.32,0.31,0.23,0.24,"Moderately bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","None","Only intuition","i only used what i knew about the world for the forecast so i am sure i did poorly ","80.68","Male","1992","Some college/university but no degree","    Employed for wages","8568495","Treatment"
"R_2BmlXcLj13BFIGE","other",2017-02-06,2782,30,25,20,36,1169.772,1,1,1,-4,1,1,0,-3,3,-1,3,-1,-4,3,-2,4,-3,1,1,-2,-3,-4,-3,-3,-4,-1,"626.071","Yes",626.854,0.28,0.09,0.38,0.61,0.2,0.59,0.33,0.2,0.67,0.24,0.09,0.45,0.59,0.31,0.54,0.7,0.38,0.37,0.23,0.39,0.82,0.61,0.17,0.56,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","Less than 10 min","None","Only intuition","No, I just tend to predict passive outcomes ( not doing happening anything) as more probable given the comparision of one curent state and multiple possible courses of action","224.766","Female","1989","Master's degree","    A student","32013923","Treatment"
"R_2bNavbC5zOLOZqU","other",2017-02-07,1250,30,25,20,20,464.002,1,1,2,1,3,-1,2,1,2,-3,2,-4,-4,3,1,2,-4,2,-4,-3,-4,-4,1,-1,-1,-1,"358.327","",278.591,0,0.15,0.05,0.04,0.85,0.27,1,0.05,0.82,0.07,0.01,0.26,0,0.11,0.78,0.97,0,0.18,0,0,0.69,0,0,0,"Moderately bad","No, I never participated in any forecasting of events","Yes, more than two years","Individually","Less than 10 min","None","Mostly intuition, some analysis","","67.106","Male","1984","Doctoral degree","    A student","34426954","Control"
"R_2CcPqowNqU2Q3ip","other",2017-02-06,5894,30,10,23,1,1616.873,-2,-2,-3,-2,-3,-4,-1,2,3,-1,4,-1,-1,2,1,3,-2,-2,-1,-1,-2,-3,-4,2,-2,4,"254.845","Yes",3630.311,0.71,0.16,0.18,0.79,0.08,0.75,0.58,0.83,0.82,0.29,0.06,0.3,0.59,0.13,0.58,0.71,0.39,0.3,0.18,0.1,0.81,0.71,0.21,0.33,"Slightly good","No, I never participated in any forecasting of events","Yes, between six months and two years","Individually","10-30 min","None","Only intuition","","54.956","Female","1990","Master's degree","    Employed for wages","92631774","Treatment"
"R_2CP6j29g0w1S5En","mturk",2017-02-09,6895,30,33,23,22,4281.251,-3,-4,-4,-4,-4,-4,-4,4,4,4,4,4,4,-3,-4,-4,-4,-4,-4,-4,4,4,4,4,4,4,"596.275","Yes",372.476,0.91,0.71,0.71,0.92,0.4,0.57,0.33,0.91,0.9,0.92,0.18,0.75,0.69,0.81,0.7,0.75,0.35,0.34,0.3,0.3,0.24,0.76,0.08,0.2,"Moderately good","Yes, I sometimes forecast events","Yes, between six months and two years","Individually","1 to 2 hours","News,Academic papers,Social media","About evenly intuition and analysis","none","122.77","Female","1989","Master's degree","    Employed for wages","94092169","Treatment"
"R_2CQAfZAY5UMiTqF","uni",2017-02-09,3251,30,25,20,66.67,283.279,3,3,1,1,4,1,1,-1,-1,-4,2,-2,-4,1,2,3,-2,-4,1,2,-2,1,1,-2,-4,-1,"191.951","",2709.26,0.75,0.15,0.09,0.45,0.15,0.7,0.6,0.2,0.3,0.93,0.18,0.95,0.76,0.15,0.28,0.37,0.1,0.15,0.2,0,0.9,0.88,0,0.3,"Slightly good","No, I never participated in any forecasting of events","None","Individually","10-30 min","News","Mostly intuition, some analysis","","42.605","Male","1992","Bachelor's degree","    A student","2432289","Control"
"R_2CQaJwupB51kLoT","other",2017-02-09,166541,27,25,22,50,758.526,2,-2,2,-2,2,2,4,-2,-2,-4,2,-2,-4,2,3,-1,-4,-2,-2,-3,-4,-3,-4,-1,-4,-1,"1467.781","",1133.068,0.1,0.66,0.3,0.3,0.9,0.5,0.25,0.33,0.2,0.5,0.2,0.8,0.75,0.2,0.8,0.75,0.2,0.75,0.1,0.02,0.25,0.5,0.1,0.66,"Moderately good","Yes, I sometimes forecast events","Yes, more than two years","With one other person","10-30 min","None","Only intuition","","102.513","Male","1983","Master's degree","    Employed for wages","24771012","Control"
"R_2Cyxj3CnKm35zmr","uni",2017-02-11,3598,30,25,20,20,469.643,-1,-2,-1,2,1,-2,1,3,2,1,2,1,-2,2,1,3,-2,1,1,-2,-1,2,1,2,-1,1,"682.358","Yes",2224.159,0.15,0.4,0.35,0.05,0.75,0.15,0.8,0.35,0.2,0.85,0.7,0.2,0.85,0.15,0.95,0.8,0.2,0,0,0.2,0.85,0.85,0.8,0.7,"Neither good nor bad","No, I never participated in any forecasting of events","None","With more than one other person","30 min to 1 hour","News,Online databases / statistics,Peers and friends","About evenly intuition and analysis","","151.338","Male","1994","Bachelor's degree","    A student","59682527","Treatment"
"R_2dLQRWEtsFgDb6V","uni",2017-02-09,2269,30,25,20,50,571.44,-1,2,-3,2,2,-1,3,2,1,-2,3,2,-4,2,3,2,-4,3,3,1,-1,-1,-2,1,-1,2,"410.998","",824.898,0.1,0.09,0.2,0.2,0.19,0.1,0.25,0.7,0.29,0.91,0.2,0.61,0.7,0.2,0.4,0.71,0.3,0.7,0.2,0.2,1,0.71,0.19,0.19,"Neither good nor bad","No, I never participated in any forecasting of events","Yes, but less than six months","With more than one other person","30 min to 1 hour","News,Reports of non-government organizations,Reports of governments and/or international organizations,Online databases / statistics","Mostly intuition, some analysis","I tried to use whatever evidence from recent history was available to me via a few quick methods (internet search, database search, recent news).  One thing I thought was interesting was things that I thought I was familiar with (US politics especially) I didn't even research.  Mostly because DJT is a complete enigma but also because I just assumed I knew what I was talking about and how Congress would behave.  In retrospect, that might prove to be totally wrong.  Other pieces of the world I was less familiar with I tried not predict too heavily either way. If I know nothing about a conflict, I'm not going to predict its results with 100% certainty.  So, in situations like that my prediction usually sat in the 40-60 point range.","378.256","Male","1989","Bachelor's degree","    A student","17031834","Control"
"R_2dPSWThICrkp432","mturk",2017-02-06,1567,25,25,20,50,241.781,1,1,3,2,3,2,3,4,4,-2,4,-1,2,0,-2,-4,-4,-4,-3,-4,-2,4,4,-1,0,4,"752.455","Yes",384.632,0.75,0.2,0.1,0.5,0.05,0.2,0.15,0.02,0.95,0.03,0.01,0.03,0.95,0.02,0.01,0.25,0.01,0.9,0.05,0.04,0.8,0.7,0.01,0.01,"Slightly good","Yes, I regularly forecast events","None","Individually","10-30 min","News,Reports of non-government organizations,Reports of governments and/or international organizations,Peers and friends","About evenly intuition and analysis","Mostly using the number of times the even has occurred over the last few years.","150.583","Male","1983","Master's degree","    Employed for wages","33057262","Treatment"
"R_2dsarsbV26cDW5Y","other",2017-02-06,9439,30,10,23,50,8118.225,-3,-4,-4,-4,-4,-4,-4,4,-4,-2,4,1,-3,1,1,-2,-2,-3,1,-4,-4,-4,-1,0,-4,-4,"669.387","",346.283,0.75,0.08,0,0.18,0,0.84,0.96,0.64,0.37,0.28,0.13,0.65,0.78,0,0.69,0.12,0.1,0.34,0,0,0.44,0.61,0,0,"Neither good nor bad","No, I never participated in any forecasting of events","Yes, but less than six months","Individually","30 min to 1 hour","None","Mostly analysis, some intuition","","196.35","Female","1995","Bachelor's degree","    A student","23460823","Control"
"R_2dxKNsoYmrx326a","mturk",2017-02-06,643,34,10,23,1,240.88,-3,-4,1,-4,-1,-2,2,3,-3,-3,3,1,-2,0,3,1,-3,1,3,-1,-4,3,3,-3,-3,-1,"160.779","",137.397,0.77,0.63,0.14,0.23,0.43,0.32,0.68,0.61,0.29,0.36,0.24,0.43,0.54,0.68,0.31,0.13,0.58,0.35,0.2,0.13,0.45,0.65,0.42,0.43,"Moderately bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","None","Only intuition","I just went with how I felt in regard to my knowledge of the situations mentioned.","59.98","Female","1982","Bachelor's degree","    Employed for wages","70811773","Control"
"R_2dy8rGiKk1p7gUy","mturk",2017-02-06,587,25,25,25,15,36.189,-1,-1,1,-2,1,2,3,-1,1,2,2,-1,1,3,0,2,-1,0,1,1,-3,2,3,3,-1,3,"267.132","",230.056,0.71,0.36,0.23,0.61,0.2,0.36,0.4,0.7,0.16,0.23,0.08,0.05,0.15,0.14,0.06,0.2,0.29,0.64,0.19,0.1,0.14,0.58,0.3,0.23,"Neither good nor bad","No, I never participated in any forecasting of events","None","Individually","10-30 min","None","Only intuition","I just went with my gut and what I know","33.435","Female","1982","Some college/university but no degree","    A homemaker","42645921","Control"
"R_2DYt9mxq2r6PK7y","mturk",2017-02-09,1308,450,50,60,20,204.538,-2,-3,-3,-3,-3,-3,-3,4,4,4,4,4,4,3,4,4,4,4,4,4,-4,-4,-4,-4,-4,-4,"410.817","Yes",334.887,0.09,0.21,0.1,0.51,0.2,0.18,0.31,0.51,0.16,0.06,0.09,0.03,0.08,0.3,0.12,0.01,0.07,0.19,0.08,0.03,0.06,0.13,0.05,0.11,"Slightly good","No, I never participated in any forecasting of events","None","With one other person","30 min to 1 hour","Peers and friends","Mostly intuition, some analysis","i used my gut feeling","237.645","Male","1981","Some college/university but no degree","    Employed for wages","37747876","Treatment"
"R_2EH0edStmzSr3e6","uni",2017-02-12,2137,30,25,20,4,855.25,2,-1,1,-1,2,1,2,2,1,-1,1,1,-1,3,3,3,1,-1,1,0,-3,-1,-1,-2,-3,1,"345.095","",832.062,0.61,0.29,0.28,0.71,0.4,0.31,0.3,0.72,0.31,0.93,0.1,0.8,0.28,0.19,0.6,0.11,0.31,0.71,0.09,0.19,0.7,0.83,0.31,0.3,"Slightly bad","No, I never participated in any forecasting of events","None","Individually","30 min to 1 hour","News","Mostly intuition, some analysis","","79.216","Female","1994","Bachelor's degree","    A student","38997049","Control"
"R_2EnPe3IrFnLnXvE","other",2017-02-08,1007,30,0.25,20,0.5,129.701,-2,-2,-1,-3,-3,-2,-3,2,2,-3,4,-1,-3,2,-2,3,-1,-4,-2,-2,-2,-2,-2,-4,-3,-2,"302.453","",419.836,0.4,0.04,0.1,0.05,0.3,0.2,0.2,0.9,0.33,0.3,0.15,0.6,0.95,0.1,0.9,0.91,0.01,0.1,0.04,0.1,0.25,0.48,0.04,0.15,"Neither good nor bad","Yes, I have tried forecasting events a few times","Yes, between six months and two years","Individually","Less than 10 min","News","Only intuition","","71.012","Male","1989","Master's degree","    A student","12865018","Control"
